"iata","name","location"
JFK,John F. Kennedy International Airport,"New York City, New York, USA"
LAX,Los Angeles International Airport,"Los Angeles, California, USA"
LHR,London Heathrow Airport,"London, United Kingdom"
CDG,Paris Charles de Gaulle Airport,"Paris, France"
SYD,Sydney Airport,"Sydney, Australia"
MEL,Melbourne Airport,"Melbourne, Australia"
ORD,Chicago O’Hare International Airport,"Chicago, Illinois, USA"
SFO,San Francisco International Airport,"San Francisco, California, USA"
HND,Tokyo International Airport (Haneda),"Tokyo, Japan"
CTS,New Chitose Airport,"Sapporo, Hokkaido, Japan"
AMS,Amsterdam International Airport,"Schiphol, Netherlands"
IST,Istanbul Airport,"Istanbul, Turkey"
DXB,Dubai International Airport,"Dubai, United Arab Emirates"
MUC,Munich Airport,"Munich, Germany"
FRA,Frankfurt Airport,"Frankfurt, Germany"
MIA,Miami International Airport,"Miami, Florida, USA"
DFW,Dallas/Fort Worth International Airport,"Dallas-Fort Worth, Texas, USA"
HKG,Hong Kong International Airport,"Hong Kong, China"
ICN,Incheon International Airport,"Seoul, South Korea"
SIN,Singapore Changi Airport,Singapore
PEK,Beijing Capital International Airport,"Beijing, China"
SHA,Shanghai Hongqiao International Airport,"Shanghai, China"
PVG,Shanghai Pudong International Airport,"Shanghai, China"
CAN,Guangzhou Baiyun International Airport,"Guangzhou, China"
SZX,Shenzhen Bao’an International Airport,"Shenzhen, China"
CTU,Chengdu Shuangliu International Airport,"Chengdu, China"
XIY,Xi’an Xianyang International Airport,"Xi’an, China"
PEE,Perm International Airport,"Perm, Russia"
KJA,Krasnoyarsk International Airport,"Krasnoyarsk, Russia"
DME,Moscow Domodedovo Airport,"Moscow, Russia"
LED,Pulkovo Airport,"St. Petersburg, Russia"
HEL,Helsinki Airport,"Helsinki, Finland"
ARN,Stockholm Arlanda Airport,"Stockholm, Sweden"
OSL,Oslo Airport Gardermoen,"Oslo, Norway"
CPH,Copenhagen Airport,"Copenhagen, Denmark"
BCN,Barcelona–El Prat Airport,"Barcelona, Spain"
MAD,Adolfo Suárez Madrid–Barajas Airport,"Madrid, Spain"
FNC,Madeira Airport,"Funchal, Madeira, Portugal"
LIS,Lisbon Portela Airport,"Lisbon, Portugal"
FCO,Leonardo da Vinci-Fiumicino Airport,"Rome, Italy"
MXP,Milan Malpensa Airport,"Milan, Italy"
BAR,Barcelona International Airport,"Barcelona, Spain"
MDA,Maryland International Airport,"Maryland, USA"
CHN,China International Airport,"China, Bing Chilling"
END,Eindhoven International Airport,"Eindhoven, Netherlands"
VNO,Vilnius International Airport,"Vilnius, Lithuania"
TOP,OkK,OKK
DUS,Dusseldorf International Airport,Flughafen Düsseldorf
ORY,Paris Orly Airport,"Paris, France"
ZRH,Zurich Airport,"Zurich, Switzerland"
VIE,Vienna International Airport,"Vienna, Austria"
LAS,McCarran International Airport,"Las Vegas, United States"
YYZ,Toronto Pearson International Airport,"Toronto, Canada"
YVR,Vancouver International Airport,"Vancouver, Canada"
SCL,Comodoro Arturo Merino Benítez International Airport,"Santiago, Chile"
EZE,Ministro Pistarini International Airport,"Buenos Aires, Argentina"
GRU,Guarulhos International Airport,"São Paulo, Brazil"
MEX,Benito Juárez International Airport,"Mexico City, Mexico"
GIG,Rio de Janeiro–Galeão International Airport,"Rio de Janeiro, Brazil"
AKL,Auckland Airport,"Auckland, New Zealand"
BKK,Suvarnabhumi Airport,"Bangkok, Thailand"
DEL,Indira Gandhi International Airport,"Delhi, India"
BOM,Chhatrapati Shivaji Maharaj International Airport,"Mumbai, India"
CGK,Soekarno-Hatta International Airport,"Jakarta, Indonesia"
KUL,Kuala Lumpur International Airport,"Kuala Lumpur, Malaysia"
DOH,Hamad International Airport,"Doha, Qatar"
LGW,London Gatwick Airport,"London, United Kingdom"
ATH,Eleftherios Venizelos International Airport,"Athens, Greece"
BRU,Brussels Airport,"Brussels, Belgium"
BUD,Budapest Ferenc Liszt International Airport,"Budapest, Hungary"
CIA,Ciampino–G. B. Pastine International Airport,"Rome, Italy"
DUB,Dublin Airport,"Dublin, Ireland"
EDI,Edinburgh Airport,"Edinburgh, United Kingdom"
GVA,Geneva Airport,"Geneva, Switzerland"
HAM,Hamburg Airport,"Hamburg, Germany"
LYS,Lyon–Saint-Exupéry Airport,"Lyon, France"
MAN,Manchester Airport,"Manchester, United Kingdom"
MRS,Marseille Provence Airport,"Marseille, France"
NRT,Narita International Airport,"Tokyo, Japan"
DMK,Don Mueang International Airport,"Bangkok, Thailand"
ATL,Hartsfield-Jackson Atlanta International Airport,"Atlanta, USA"
LIM,Jorge Chávez International Airport,"Lima, Peru"
SYX,Sanya Phoenix International Airport,"Sanya, China"
AKX,Aktobe International Airport,"Aktobe, Kazakhstan"
KIV,Chișinău International Airport,"Chișinău, Moldova"
BEG,Belgrade Nikola Tesla Airport,"Belgrade, Serbia"
TLV,Ben Gurion Airport,"Tel Aviv, Israel"
LCA,Larnaca International Airport,"Larnaca, Cyprus"
PRG,Václav Havel Airport Prague,"Prague, Czech Republic"
